pval,name,family,role
2.743638077,pro-B cell differentiation (D),Peptostreptococcaceae,Positive
2.661175906,pro-B cell differentiation (C),Nocardiaceae,Positive
-2.229865557,pro-B cell differentiation (B),Orbaceae,Positive
2.595054152,pro-B cell differentiation (A),Clostridiaceae,Positive
-5.795791381,pro-B cell differentiation,Chitinophagaceae,Positive
1.549518688,positive regulation of myeloid leukocyte cytokine production involved in immune response,Caulobacteraceae,Positive
1.869756047,positive regulation of macrophage derived foam cell differentiation,Geodermatophilaceae,Positive
-2.43882368,positive regulation of macrophage activation (E),Peptostreptococcaceae,Positive
5.833388507,positive regulation of macrophage activation (D),Incertae_Sedis_XI,Positive
-2.459421508,positive regulation of macrophage activation (C),Nocardiaceae,Positive
-2.410235042,positive regulation of macrophage activation (B),Clostridiaceae,Positive
5.61149574,positive regulation of macrophage activation (A),Chitinophagaceae,Positive
4.346050772,positive regulation of macrophage activation,Caulobacteraceae,Positive
-3.692004846,positive regulation of macrophage activation (F),Geodermatophilaceae,Positive
1.347926474,positive regulation of interleukin-12 production (D),Peptostreptococcaceae,Positive
1.355302729,positive regulation of interleukin-12 production (C),Nocardiaceae,Positive
1.314704725,positive regulation of interleukin-12 production (B),Clostridiaceae,Positive
2.359530181,positive regulation of interleukin-12 production (A),Chitinophagaceae,Positive
3.239402507,positive regulation of interleukin-12 production,Caulobacteraceae,Positive
2.126803765,positive regulation of interferon-gamma secretion (D),Peptostreptococcaceae,Positive
2.098150606,positive regulation of interferon-gamma secretion (C),Nocardiaceae,Positive
-1.977266876,positive regulation of interferon-gamma secretion (B),Orbaceae,Positive
2.034726313,positive regulation of interferon-gamma secretion (A),Clostridiaceae,Positive
1.76649974,positive regulation of interferon-gamma secretion,Chitinophagaceae,Positive
1.686475563,positive regulation of interferon-alpha secretion (C),Peptostreptococcaceae,Positive
1.644440609,positive regulation of interferon-alpha secretion (B),Nocardiaceae,Positive
-1.627554006,positive regulation of interferon-alpha secretion (A),Orbaceae,Positive
1.588502267,positive regulation of interferon-alpha secretion,Clostridiaceae,Positive
-1.360188792,positive regulation of B cell receptor signaling pathway (A),Rubrobacteraceae,Positive
5.618798073,positive regulation of B cell receptor signaling pathway,Chlamydiales,Positive
1.382266267,positive regulation of B cell proliferation (A),Chitinophagaceae,Positive
2.154246203,positive regulation of B cell proliferation,Caulobacteraceae,Positive
-1.830294946,positive regulation of B cell differentiation,Chlamydiales,Positive
1.615027123,positive regulation of antigen receptor-mediated signaling pathway,Chlamydiales,Positive
-1.366208756,neutrophil migration (C),Gp10,Positive
1.829731694,neutrophil migration (B),Methylobacteriaceae,Positive
1.657697227,neutrophil migration (A),Caulobacteraceae,Positive
3.602050626,neutrophil migration,Chitinophagaceae,Positive
-2.154246203,negative regulation of myeloid cell apoptotic process (A),Caulobacteraceae,Positive
-2.41738521,negative regulation of myeloid cell apoptotic process,Methylobacteriaceae,Positive
-2.756591173,negative regulation of lymphocyte migration,Chlamydiales,Negative
-1.55241811,negative regulation of interleukin-5 production,Rubrobacteraceae,Negative
-1.528712213,negative regulation of interleukin-10 production,Geodermatophilaceae,Negative
-1.553491582,"negative regulation of CD8-positive, alpha-beta T cell activation",Nocardiaceae,Negative
-2.272542191,"negative regulation of CD8-positive, alpha-beta T cell activation (A)",Geodermatophilaceae,Negative
-1.406387816,negative regulation of alpha-beta T cell proliferation,Geodermatophilaceae,Negative
2.743638077,myeloid progenitor cell differentiation (D),Peptostreptococcaceae,Positive
2.661175906,myeloid progenitor cell differentiation (C),Nocardiaceae,Positive
-2.229865557,myeloid progenitor cell differentiation (B),Orbaceae,Positive
2.595054152,myeloid progenitor cell differentiation (A),Clostridiaceae,Positive
2.900277062,myeloid progenitor cell differentiation,Chitinophagaceae,Positive
-1.360188792,myeloid leukocyte migration (A),Rubrobacteraceae,Positive
-1.35293044,myeloid leukocyte migration,Halomonadaceae,Positive
1.76649974,lymphoid progenitor cell differentiation,Chitinophagaceae,Positive
-1.828134225,lymphocyte aggregation (B),Rubrobacteraceae,Positive
1.615027123,lymphocyte aggregation (A),Chlamydiales,Positive
-1.35293044,lymphocyte aggregation,Halomonadaceae,Positive
1.426688635,leukocyte chemotaxis (A),Caulobacteraceae,Positive
1.534122664,leukocyte chemotaxis,Methylobacteriaceae,Positive
-1.55241811,interleukin-23-mediated signaling pathway (B),Rubrobacteraceae,Positive
-1.977266876,interleukin-23-mediated signaling pathway (A),Orbaceae,Positive
1.76649974,interleukin-23-mediated signaling pathway,Chitinophagaceae,Positive
-1.360188792,interleukin-21-mediated signaling pathway (A),Rubrobacteraceae,Positive
-1.627554006,interleukin-21-mediated signaling pathway,Orbaceae,Positive
2.3427868,humoral immune response,Orbaceae,Positive
1.615027123,establishment of T cell polarity (B),Chlamydiales,Positive
-2.229865557,establishment of T cell polarity (A),Orbaceae,Positive
2.359530181,establishment of T cell polarity,Chitinophagaceae,Positive
-1.35293044,establishment of lymphocyte polarity,Halomonadaceae,Positive
1.408286205,eosinophil migration (B),Chitinophagaceae,Positive
1.549518688,eosinophil migration (A),Caulobacteraceae,Positive
1.681730555,eosinophil migration,Methylobacteriaceae,Positive
1.388007588,eosinophil chemotaxis (B),Chitinophagaceae,Positive
3.043126566,eosinophil chemotaxis (A),Caulobacteraceae,Positive
3.332999445,eosinophil chemotaxis,Methylobacteriaceae,Positive
-2.175954536,"complement activation, alternative pathway (A)",Chlamydiales,Positive
5.916411447,"complement activation, alternative pathway",Orbaceae,Positive
-1.815431424,complement activation (A),Incertae_Sedis_XI,Positive
4.863106903,complement activation,Orbaceae,Positive
1.316418186,common myeloid progenitor cell proliferation (A),Nocardiaceae,Positive
-1.39610392,common myeloid progenitor cell proliferation,Orbaceae,Positive
1.360188792,chemokine (C-X-C motif) ligand 12 signaling pathway (A),Rubrobacteraceae,Positive
5.795791381,chemokine (C-X-C motif) ligand 12 signaling pathway,Chitinophagaceae,Positive
9.493247516,B cell proliferation,Chitinophagaceae,Positive
2.33779649,alpha-beta T cell lineage commitment,Nocardiaceae,Positive
